dataset,mean,std
data2_0,0.908001235,0.0232220393511
data2_1,0.85038565,0.0325819750089
data2_10,0.994499335,0.00760103995553
data2_12,0.817708335,0.213871684221
data2_14,0.9,0.205195670417
data2_16_1,0.987057135,0.0164923226378
data2_19_0,0.976014495,0.0218368457579
data2_19_1,0.95472706,0.0465876954676
data2_19_2,0.969392255,0.0513768138495
data2_2,0.707229825,0.0313683443508
data2_26,1.0,0.0
data2_27,0.99128788,0.022184169832
data2_28,0.99861111,0.00621130490654
data2_29,0.973333335,0.0308931401004
data2_3,0.81897727,0.0729540951641
data2_30,0.996291215,0.00984601789543
data2_31,0.97543996,0.0321447629227
data2_32,0.990151515,0.0217214977288
data2_33,0.96411863,0.0372158872145
data2_34,0.614539725,0.0911942957399
data2_35,0.96544157,0.026746244965
data2_36,1.0,0.0
data2_37,0.82818682,0.0801420746073
data2_39,0.946309525,0.0870347140233
data2_4,0.982567395,0.0142065387194
data2_40,0.82403275,0.167934467343
data2_41,0.72738095,0.162160605695
data2_42,0.8676282,0.276312907
data2_43,0.92777778,0.184785144575
data2_44,0.995169077778,0.0144927666667
data2_45,0.815062394118,0.23014377453
data2_46,0.915327385,0.0671665693795
data2_48,0.87857143,0.185178525274
data2_49,0.951449275,0.0803868408366
data2_5,0.3722188,0.190479104823
data2_51,0.943541665,0.0827664421087
data2_52,0.935281395,0.0696754505569
data2_54,1.0,0.0
data2_55,0.778333335,0.202115995487
data2_56,1.0,0.0
data2_59,0.710625005,0.0723634141629
data2_6,0.981741955,0.0190259430766
data2_63,0.93915185,0.0328965704394
data2_64,0.869333335,0.11925010276
data2_66,0.971530325,0.00958494377684
data2_68,0.884839745,0.0792037857153
data2_70,0.681439395,0.181601664145
data2_72,0.766324335,0.0897415668177
data2_73,0.99372282,0.0157945920113
data2_74,0.97367059,0.0311510804519
data2_75,0.986435115,0.0238817249476
data2_76,0.85542705,0.0456224493476
data2_77,0.86979106,0.0605475434412
data2_78,0.994195075,0.00963316358955
data2_79,0.982638885,0.0247325695377
