dataset,mean,std
data2_0,0.858843715,0.0350495796842
data2_1,0.749529305,0.0493207013134
data2_10,0.987896145,0.0199746686642
data2_12,0.62662066,0.17442177479
data2_14,0.8125,0.333196243739
data2_16_1,0.920568065,0.0686805322048
data2_19_0,0.87000979,0.137262016331
data2_19_1,0.814366165,0.144835087693
data2_19_2,0.84872813,0.14004957304
data2_2,0.596913605,0.0826647788162
data2_26,1.0,0.0
data2_27,0.97097222,0.0494787892972
data2_28,0.992604165,0.0234777373629
data2_29,0.947206335,0.0686145664438
data2_3,0.770064415,0.111879161975
data2_30,0.97525,0.0543835674571
data2_31,0.921306055,0.0827395735848
data2_32,0.957291665,0.0856703616131
data2_33,0.89276098,0.0877848616161
data2_34,0.577714215,0.108796862757
data2_35,0.913166815,0.0608737491105
data2_36,1.0,0.0
data2_37,0.73330866,0.121758046555
data2_39,0.85656296,0.19001741357
data2_4,0.98015305,0.0186048303846
data2_40,0.64694784,0.203906283913
data2_41,0.651997895,0.0839360806156
data2_42,0.491902353846,0.281404164688
data2_43,0.8889881,0.264852079753
data2_44,0.916666666667,0.25
data2_45,0.539781288235,0.00162599685804
data2_46,0.90681789,0.0809468539984
data2_48,0.67895834,0.321652445218
data2_49,0.833157025,0.222367463778
data2_5,0.514175325,0.11306783738
data2_51,0.941423615,0.125576407418
data2_52,0.91681212,0.0708521557236
data2_54,1.0,0.0
data2_55,0.642023795,0.160266837739
data2_56,0.9925,0.0335410196625
data2_59,0.71558582,0.0277298988896
data2_6,0.968975565,0.0579817274943
data2_63,0.80264394,0.0676332131223
data2_64,0.85580825,0.134643470224
data2_66,0.94992785,0.0226551548036
data2_68,0.73803671,0.199405848437
data2_70,0.63494885,0.0285249248294
data2_72,0.436235145,0.162341388451
data2_73,0.901238995,0.148351446419
data2_74,0.911669735,0.0953105088077
data2_75,0.982186135,0.0228951389459
data2_76,0.623980175,0.0674197923672
data2_77,0.70441412,0.120575986806
data2_78,0.979161175,0.0289762414333
data2_79,0.896111115,0.181094335272
data2_8,0.949305555,0.0758923389304
data2_80,0.5579594,0.0556526715949
data2_81,0.4152485,0.210967699675
data2_82,0.591227105,0.292021250237
data2_83,0.72520645,0.290180328382
data2_84,0.513642665,0.228084847669
data2_85,0.524302225,0.151314238243
data2_86,0.5183402,0.0926366138669
data2_87,0.820515875,0.227211609083
data2_88,0.46491671,0.135455409816
data2_89,0.815277785,0.218344267917
data2_9,0.936527775,0.0896199757046
data2_90,0.844905145,0.0801642076348
data2_91,0.82833237,0.0949488893661
data2_92,0.882291925,0.108643063591
data2_93,0.99513889,0.0217395448122
data2_94,0.990555555,0.0290833550104
data2_95,1.0,0.0
data_art_000,0.554646625,0.094708346449
data_art_001,0.557474395,0.230449119565
data_art_002,0.53410885,0.10113136383
data_art_003,0.556664685,0.0464174647882
data_art_004,0.598853225,0.0578849477327
data_art_005,0.54420558,0.20529434821
data_art_006,0.49845823,0.160777388657
data_art_007,0.53062066,0.128162282128
data_art_008,0.403689975,0.209228601629
data_art_009,0.618921405,0.0418896649609
data_art_010,0.53681967,0.101790914521
data_art_011,0.568796345,0.123780728148
data_art_012,0.479479855,0.164658160906
data_art_013,0.54749054,0.193090692656
data_art_014,0.480068,0.164301339594
data_art_015,0.81482287,0.187321722298
data_art_016,0.49761833,0.154644493803
data_art_017,0.516539675,0.164515538822
data_art_018,0.561832155,0.00931969263207
data_art_019,0.58389539,0.103413662637
data_art_020,0.510873565,0.177798782389
data_art_021,0.532350875,0.158149578423
data_art_022,0.58210825,0.0646903411534
data_art_023,0.597716675,0.0112904376416
data_art_024,0.512282885,0.111343688167
data_art_025,0.519090905,0.102809969961
data_art_026,0.584187715,0.0723116431071
data_art_027,0.61469929,0.0819802514862
data_art_028,0.5299731,0.00329193646258
data_art_029,0.599229605,0.0264782243367
data_art_031,0.57622924,0.0860878258069
data_art_032,0.52481891,0.154986706151
data_art_033,0.57260164,0.0934445877189
data_art_034,0.43655096,0.188238597079
data_art_035,0.481438445,0.169081817299
data_art_036,0.54574405,0.259954734705
data_art_037,0.51844422,0.142825836234
data_art_038,0.41559704,0.204958706555
data_art_039,0.82308501,0.189053677146
data_art_040,0.515822835,0.124615572998
