dataset,mean,std
data2_0,0.858923505,0.0350364439462
data2_1,0.74868386,0.0498587232714
data2_10,0.98895232,0.0161899759328
data2_12,0.680029765,0.30509845468
data2_14,0.85,0.307793505626
data2_16_1,0.899363235,0.128420911596
data2_19_0,0.83369175,0.127835125775
data2_19_1,0.835191755,0.145650418267
data2_19_2,0.877729585,0.152427737871
data2_2,0.48696387,0.0553496061118
data2_26,1.0,0.0
data2_27,0.980625,0.0463591217833
data2_28,0.9971875,0.0125778823734
data2_29,0.93392351,0.080434216816
data2_3,0.812019185,0.100757066007
data2_30,0.987916665,0.0325188380177
data2_31,0.944796315,0.0508441030785
data2_32,0.975,0.0547413831372
data2_33,0.92457398,0.0763298249049
data2_34,0.31346592,0.0701393146553
data2_35,0.915364475,0.064878018327
data2_36,1.0,0.0
data2_37,0.733346695,0.12262910479
data2_39,0.84897055,0.183684608227
data2_4,0.982027705,0.0144755458162
data2_40,0.718576395,0.246434307342
data2_41,0.60216112,0.220250561051
data2_42,0.560096153846,0.428903511885
data2_43,0.805208335,0.351757477295
data2_44,0.916666666667,0.25
data2_45,0.451750705882,0.421431114325
data2_46,0.91412288,0.0766890831181
data2_48,0.748541675,0.325672024879
data2_49,0.817114455,0.236549415304
data2_5,0.10860919,0.127247180461
data2_51,0.93732639,0.0939478033911
data2_52,0.925500715,0.0741269915645
data2_54,1.0,0.0
data2_55,0.64186508,0.287526507321
data2_56,1.0,0.0
data2_59,0.668226695,0.110206380616
data2_6,0.98211201,0.0182655883522
data2_63,0.80291365,0.0672828475825
data2_64,0.88161754,0.126693688944
data2_66,0.949889985,0.0228366901765
data2_68,0.738119675,0.169628323642
data2_70,0.53564803,0.232292971011
data2_72,0.14188992,0.0634155517905
data2_73,0.916018665,0.108936348303
data2_74,0.909035145,0.0909191531732
data2_75,0.960827065,0.0846470221582
data2_76,0.62867986,0.11646658492
data2_77,0.69406241,0.117040743709
data2_78,0.98311948,0.0262301330887
data2_79,0.883472225,0.174365270005
data2_8,0.950198415,0.0749608925287
data2_80,0.474984785,0.262075967497
data2_81,0.24278093,0.189912003166
data2_82,0.600902785,0.286418283218
data2_83,0.76218603,0.256230511478
data2_84,0.55384698,0.338441497784
data2_85,0.37725007,0.221685152931
data2_86,0.345484455,0.187194595064
data2_87,0.838988095,0.235851796889
data2_88,0.37522206,0.22635802109
data2_89,0.814652785,0.223993063998
data2_9,0.95583333,0.0730013266988
data2_90,0.851607605,0.0761551861033
data2_91,0.82578249,0.0964596822714
data2_92,0.88306462,0.105448272932
data2_93,1.0,0.0
data2_94,0.98933532,0.0329673028451
data2_95,1.0,0.0
data_art_000,0.248316095,0.144907863805
