dataset,quality,gain_to_nores_abs,gain_to_nores_rel,gain_to_worst_abs,gain_to_best_abs,ARA_metric
data2_0,0.83308535,0.0,0.0,0.08757061999999993,0.0,1.0
data2_1,0.69649634,0.0,0.0,0.042402710000000066,-0.007092589999999954,0.8567017474386467
data2_10,0.982552265,0.0,0.0,0.027237445000000027,-0.0027915450000000064,0.9070383319585507
data2_12,0.54626624,0.0,0.0,0.11952713000000004,-0.025448530000000025,0.8244634306200088
data2_14,0.77083334,0.0,0.0,0.12291666499999998,-0.08749999499999994,0.584158426428782
data2_16_1,0.95414691,0.0,0.0,0.10636678,-0.010635559999999988,0.9090995957858622
data2_19_0,0.907200235,0.0,0.0,0.14819684500000008,0.0,1.0
data2_19_1,0.92188425,0.0,0.0,0.19690928499999993,0.0,1.0
data2_19_2,0.93177701,0.0,0.0,0.19640727999999996,0.0,1.0
data2_2,0.498020135,0.0,0.0,0.0,-0.13954544000000002,0.0
data2_26,0.919583345,0.0,0.0,0.21993057500000002,-0.05124998999999997,0.8110115671453079
data2_27,0.95236111,0.0,0.0,0.24473034000000005,-0.017534720000000004,0.933141227428465
data2_28,0.961944435,0.0,0.0,0.24797680500000008,-0.010277784999999984,0.9602028951353779
data2_29,0.91949207,0.0,0.0,0.18748970499999995,-0.022043464999999984,0.8947972533417979
data2_3,0.699234835,0.0,0.0,0.06656300500000001,-0.014655304999999896,0.8195566369209122
data2_30,0.988506945,0.0,0.0,0.23118123000000002,-0.007847219999999933,0.9671703514790815
data2_31,0.968579805,0.0,0.0,0.2640936549999999,-0.005318370000000017,0.9802593444000876
data2_32,0.93090277,0.0,0.0,0.25513256500000003,-0.011061509999999997,0.9584456941800827
data2_33,0.94888415,0.0,0.0,0.23848151500000003,-0.002927154999999959,0.9878746898361191
data2_34,0.67975297,0.0,0.0,0.09039761499999999,-0.03722735499999996,0.7083066503365292
data2_35,0.990298295,0.0,0.0,0.16157426500000005,-0.0006045799999999657,0.9962721401795656
data2_36,1.0,0.0,0.0,0.03222402000000002,0.0,1.0
data2_37,0.65431498,0.0,0.0,0.030122784999999985,-0.03508081500000004,0.46198039678790703
data2_39,0.90625,0.0,0.0,0.10661211000000004,-0.018750000000000044,0.8504332768489615
data2_4,0.974310435,0.0,0.0,0.09061047,-0.002927079999999971,0.9687068989940406
data2_40,0.82340458,0.0,0.0,0.12945932500000001,-0.044306459999999936,0.7450219558470619
data2_41,0.835253415,0.0,0.0,0.1601515,0.0,1.0
data2_42,0.7402432153849999,0.0,0.0,0.04086538461599987,-0.11057692307700007,0.26984126984409906
data2_43,0.88666667,0.0,0.0,0.08166666999999994,-0.010606055000000003,0.885057529188609
data2_44,0.8634259222220001,0.0,0.0,0.27129628888900004,-0.10879629999999996,0.7137636902681831
data2_45,0.43080694705899997,0.0,0.0,0.20072257647099995,-0.10784313529399997,0.6505018828011193
data2_46,0.874173255,0.0,0.0,0.06135504000000003,-0.02862281,0.6818904874921996
data2_48,0.72384921,0.0,0.0,0.14810515000000002,-0.04125000000000001,0.7821553836798207
data2_49,0.751760525,0.0,0.0,0.08188216999999998,-0.053928569999999953,0.6029138049023223
data2_5,0.039050745,0.0,0.0,0.0,-0.234938005,0.0
data2_51,0.939960315,0.0,0.0,0.13631696000000004,-0.012904270000000051,0.9135225597590902
data2_52,0.91487248,0.0,0.0,0.06742170000000003,-0.034262605,0.6630492286887343
data2_54,1.0,0.0,0.0,0.0,0.0,1.0
data2_55,0.97951389,0.0,0.0,0.054097229999999996,-0.010069439999999985,0.8430736704896796
data2_56,0.96794643,0.0,0.0,0.04357143500000005,-0.011220239999999992,0.7952199855178732
data2_59,0.6449554,0.0,0.0,0.013029624999999934,-0.06644615000000009,0.16394461079492373
data2_6,0.97340027,0.0,0.0,0.087579395,-0.0026321850000000646,0.9708220940149805
data2_63,0.90298733,0.0,0.0,0.056006649999999936,-0.0015277249999999798,0.973446743794471
data2_64,0.932402785,0.016433809999999993,0.017941448289774217,0.15552724499999993,-0.009875885000000029,0.9402920307493574
data2_66,0.94533889,0.0,0.0,0.06984416500000001,0.0,1.0
data2_68,0.78279996,0.0,0.0,0.11940030499999998,-0.04873079499999999,0.7101619212626338
data2_70,0.4465912,0.0,0.0,0.03760325000000003,-0.11260982000000003,0.25033274401488514
data2_72,0.393892425,0.0,0.0,0.10774399000000001,-0.01369003499999999,0.8872635984848564
data2_73,0.88950794,0.0,0.0,0.05105493999999988,-0.011954200000000026,0.8102783183519082
data2_74,0.64031784,0.0,0.0,0.13299809000000007,-0.006063549999999918,0.9563966741655001
data2_75,0.985679095,0.0,0.0,0.11902784999999994,-0.005568590000000095,0.9553069895094909
data2_76,0.6071208,0.0,0.0,0.05316543500000004,-0.02083586999999998,0.7184391545527478
data2_77,0.599417635,0.0,0.0,0.04319333999999997,-0.05935584000000005,0.42119634696250097
data2_78,0.94086808,0.0,0.0,0.10728993499999995,-0.003927530000000012,0.9646860320004595
data2_79,1.0,0.0,0.0,0.10208333999999997,0.0,1.0
data2_8,0.91363635,0.0,0.0,0.07548632,-0.013543245000000037,0.8478792410139258
data2_80,0.98846154,0.0,0.0,0.202628205,-0.011538460000000028,0.9461239217597192
data2_81,0.99375,0.0,0.0,0.2674891850000001,-0.006249999999999978,0.9771680477531925
data2_82,1.0,0.0,0.0,0.22565477,0.0,1.0
data2_83,1.0,0.0,0.0,0.20583334499999995,0.0,1.0
data2_84,0.992592595,0.0,0.0,0.26075397,-0.0074074050000000335,0.9723770621328294
data2_85,0.978044875,0.0,0.0,0.29881508,-0.015705124999999986,0.9500664035240598
data2_86,1.0,0.0,0.0,0.23439394000000002,0.0,1.0
data2_87,1.0,0.0,0.0,0.12666667499999995,0.0,1.0
data2_88,1.0,0.0,0.0,0.26628968500000005,0.0,1.0
data2_89,1.0,0.0,0.0,0.11666666999999997,0.0,1.0
