dataset,quality,gain_to_nores_abs,gain_to_nores_rel,gain_to_worst_abs,gain_to_best_abs,ARA_metric
data_art_000,0.554646625,0.0,0.0,0.12769647499999998,-0.021099255000000094,0.8581998623213174
data_art_001,0.557474395,0.0,0.0,0.16866600499999995,-0.07588545499999999,0.6896953508271837
data_art_002,0.53410885,0.0,0.0,0.22814081499999994,-0.03448267500000002,0.8686991974708735
data_art_003,0.556664685,0.0,0.0,0.202718275,-0.020283825000000033,0.9090420000529141
data_art_004,0.598853225,0.0,0.0,0.14088079500000006,-0.01724289999999995,0.8909530921346105
data_art_005,0.54420558,0.0,0.0,0.19167776999999997,-0.03001198000000005,0.864621706686935
data_art_006,0.49845823,0.0,0.0,0.1233593,-0.06849417499999999,0.6429870504039606
data_art_007,0.53062066,0.0,0.0,0.12499023499999995,-0.06782651000000006,0.6482333004843535
data_art_008,0.403689975,0.0,0.0,0.05708260499999995,-0.15826489500000002,0.2650720579528435
data_art_009,0.618921405,0.0,0.0,0.18659749000000003,-0.01503545499999992,0.9254315558402426
data_art_010,0.53681967,0.0,0.0,0.19325717499999995,-0.032125290000000084,0.8574632236806884
data_art_011,0.568796345,0.0,0.0,0.19904143999999996,-0.04802568500000004,0.8056168541241574
data_art_012,0.479479855,0.0,0.0,0.178805365,-0.09042662000000001,0.6641312138303329
data_art_013,0.54749054,0.0,0.0,0.27422168999999996,-0.05298114500000006,0.8380785881638217
data_art_014,0.48006800000000005,0.0,0.0,0.15231818500000005,-0.08904029499999999,0.6310869417142502
data_art_015,0.81482287,0.0,0.0,0.18436016499999996,-0.037688889999999975,0.8302677307048212
data_art_016,0.49761833,0.0,0.0,0.204298965,-0.06109277499999999,0.7698015205748303
data_art_017,0.516539675,0.0,0.0,0.16959318499999998,-0.11255310000000007,0.6010824668487127
data_art_018,0.561832155,0.0,0.0,0.16733108000000008,-0.028116559999999957,0.8561427500480439
data_art_019,0.58389539,0.0,0.0,0.1379298,-0.04438359999999997,0.7565532758425877
data_art_020,0.510873565,0.0,0.0,0.25940863500000005,-0.034487434999999955,0.8826543172217309
data_art_021,0.532350875,0.0,0.0,0.20825896500000002,-0.058805470000000026,0.7798079328683356
data_art_022,0.58210825,0.0,0.0,0.10406776499999998,-0.030525475000000024,0.7732020196556675
data_art_023,0.597716675,0.0,0.0,0.22203365000000003,-0.004969739999999945,0.9781071991920476
data_art_024,0.512282885,0.0,0.0,0.16437202999999995,-0.03633901000000006,0.8189486238524794
data_art_025,0.519090905,0.0,0.0,0.26630514499999997,-0.023089574999999973,0.9202142492440775
data_art_026,0.584187715,0.0,0.0,0.140726945,-0.022257795000000025,0.8634363253884995
data_art_027,0.61469929,0.0,0.0,0.18360063999999998,0.0,1.0
data_art_028,0.5299731,0.0,0.0,0.18458295999999996,-0.02348485,0.8871288643832027
data_art_029,0.599229605,0.0,0.0,0.12922303499999999,-0.008513444999999953,0.9381903399883607
data_art_031,0.57622924,0.0,0.0,0.20925093499999997,-0.019077285000000055,0.9164479756378776
data_art_032,0.52481891,0.0,0.0,0.17730978000000003,-0.082515055,0.6824204468368084
data_art_033,0.57260164,0.0,0.0,0.13712929000000001,-0.04043448999999999,0.7722818809106227
data_art_034,0.43655096,0.0,0.0,0.223382485,-0.09349796500000002,0.7049424633170016
data_art_035,0.481438445,0.0,0.0,0.18542298499999998,-0.08118586500000002,0.6954869840217232
data_art_036,0.54574405,0.0,0.0,0.22168880000000002,-0.08831241499999998,0.7151223584720467
data_art_037,0.51844422,0.0,0.0,0.143041955,-0.06716507500000002,0.6804813093073052
data_art_038,0.41559704,0.0,0.0,0.07276267999999997,-0.11496152999999998,0.3876041348103155
data_art_039,0.82308501,0.0,0.0,0.16020539499999997,-0.00552973499999998,0.966635106268659
data_art_040,0.515822835,0.0,0.0,0.25138772500000006,-0.03155528499999993,0.8884747674098754
data_art_041,0.4442640875,0.0,0.0,0.33065636875000004,-0.10842803125,0.7530587940496178
data_art_042,0.52580075,0.0,0.0,0.18507453000000001,-0.07363758999999992,0.7153686112579498
data_art_043,0.485959605,0.0,0.0,0.23905889500000002,-0.11833333499999998,0.6688978520881665
data_art_045,0.42810374,0.0,0.0,0.150773445,-0.13182385000000002,0.5335275590659847
data_art_046,0.603424765,0.0,0.0,0.11147904999999997,-0.023052755000000036,0.8286445721887101
data_art_047,0.533673995,0.0,0.0,0.16425164000000003,-0.051039685,0.7629273497201989
