dataset,quality,gain_to_nores_abs,gain_to_nores_rel,gain_to_worst_abs,gain_to_best_abs,ARA_metric
data2_0,0.75058998,0.0,0.0,0.04283612000000003,-0.0034984249999999717,0.9244963989610782
data2_1,0.66265992,-0.0019765400000000266,-0.002973866344918885,0.014476704999999979,-0.04010390000000008,0.26523533405318545
data2_10,0.93989027,0.011199845000000042,0.012059826071750488,0.02294892000000004,-0.013095884999999918,0.6366776016682589
data2_12,0.422563135,0.0,0.0,0.05064394,-0.2072096,0.19640583565383662
data2_14,0.777083345,0.0,0.0,0.20416665999999994,-0.05624999500000005,0.7840000095232003
data2_16_1,0.80292154,0.0,0.0,0.12134537000000001,-0.07317851499999994,0.6238070455975113
data2_19_0,0.553697685,0.0,0.0,0.07690040500000006,-0.181650655,0.29742831067874964
data2_19_1,0.53588212,-0.04652919499999997,-0.0798906096115251,0.07424247500000003,-0.1313086,0.361187481019012
data2_19_2,0.76175276,0.13444573000000004,0.2143220521536321,0.21165922000000004,0.0,1.0
data2_2,0.524970655,0.0,0.0,0.017929314999999946,-0.11674969000000002,0.13312628052159992
data2_26,0.83277779,-0.049999995000000075,-0.056639389719124016,0.16060516999999996,-0.11861110000000008,0.5751998979142581
data2_27,0.704687495,0.0,0.0,0.0531001900000001,-0.13473214499999997,0.28269994088078654
data2_28,0.9041316999999999,0.0,0.0,0.15963077999999986,-0.013653845000000109,0.9212056753448258
data2_29,0.737767855,0.0,0.0,0.10901784999999997,-0.07034722999999998,0.6077986305918632
data2_3,0.804163475,0.0,0.0,0.19935017499999985,0.0,1.0
data2_30,0.75588919,0.0,0.0,0.14085448,-0.08638889000000005,0.6198397779437964
data2_31,0.661130155,0.0,0.0,0.06522844000000005,-0.11826588999999998,0.35547932189512366
data2_32,0.77337798,0.005520850000000022,0.0071899443064363045,0.10718865499999997,-0.07255950499999997,0.5963268553068917
data2_33,0.682893525,0.0,0.0,0.02212826000000001,-0.11388944000000001,0.1626866209324228
data2_34,0.590616175,0.0,0.0,0.10484592999999998,-0.030650979999999994,0.7737883469076896
data2_35,0.69093411,0.0,0.0,0.016282795000000072,-0.08071768499999998,0.16786303531693925
data2_36,0.90551522,0.0,0.0,0.11098615499999998,-0.04240822500000008,0.7235346888197595
data2_37,0.63559113,0.0,0.0,0.062239814999999976,-0.05849627000000002,0.5155030080692113
data2_39,0.802523915,0.0,0.0,0.13665434999999992,-0.04603204000000005,0.7480269876699623
data2_4,0.871103615,0.0,0.0,0.04639760000000004,-0.02848008000000002,0.619645266787112
data2_40,0.779696965,0.0,0.0,0.05545453999999994,-0.06503788500000007,0.46023258308561665
data2_41,0.743205255,0.0,0.0,0.07982955000000003,-0.05783548999999999,0.5798825177401613
data2_42,0.6872172,0.0,0.0,0.10180053076899997,-0.18523755384600005,0.35465861927536035
data2_43,0.82473484,0.0,0.0,0.10890150499999995,-0.05776515500000001,0.6534090561363621
data2_44,0.918981477778,0.0,0.0,0.16898146666699998,-0.02546296666600001,0.8690475925202094
data2_45,0.3980015,0.0,0.0,0.1423454,-0.28714177647100003,0.33143108292457135
data2_46,0.816091265,0.040163229999999994,0.05176153997322702,0.09069444999999998,0.0,1.0
data2_48,0.48452382,0.0,0.0,0.04766864999999998,-0.25942459,0.1552253315637947
data2_49,0.73869551,0.0,0.0,0.06034340500000002,-0.16785897000000005,0.2644293469776552
data2_5,0.039050745,0.0,0.0,0.0,-0.349558395,0.0
data2_51,0.944226195,0.0,0.0,0.13224207500000007,-0.007083334999999913,0.9491597763824997
data2_52,0.88673588,0.0,0.0,0.1316134,-0.0068331499999999545,0.9506441294492354
data2_54,1.0,0.0,0.0,0.0,0.0,1.0
data2_55,0.94360119,0.0,0.0,0.055684534999999924,-0.015178570000000002,0.7858043335809232
data2_56,0.94461309,0.0,0.0,0.039821435000000016,-0.01770833499999991,0.6921883226718979
data2_59,0.65405637,0.0,0.0,0.05147083500000005,-0.06404022499999995,0.445592266229745
data2_6,0.886530455,0.0,0.0,0.056019680000000016,-0.013690669999999905,0.8036063511372427
data2_63,0.84290731,0.0,0.0,0.06500220000000001,-0.01785608999999999,0.7844984490990583
data2_64,0.782166295,0.0,0.0,0.08029940999999996,-0.043240449999999986,0.6499878662643781
data2_66,0.91532148,0.0,0.0,0.06488330500000006,-0.011547109999999972,0.8489199620334396
data2_68,0.86468751,0.0,0.0,0.1578963,-0.011882304999999982,0.9300129424434841
data2_70,0.47100403,0.0,0.0,0.09557073500000002,-0.13648033999999998,0.4118521536691869
data2_72,0.98771475,0.0,0.0,0.02651427499999992,-0.005012525000000045,0.841007492038518
data2_73,0.96353907,0.0,0.0,0.02699144000000009,-0.017010579999999997,0.6134136569184787
data2_74,0.98383269,0.0,0.0,0.031179489999999976,-0.0017049850000000477,0.948152281585762
data2_75,0.930702285,0.0,0.0,0.07833305999999995,-0.02839959000000003,0.7339184401399194
data2_76,0.567961395,0.0,0.0,0.030624899999999955,-0.08422719000000001,0.26664643194564386
data2_77,0.574850025,0.0,0.0,0.016119610000000062,-0.09351461999999999,0.14703081327793388
data2_78,0.881535215,0.0,0.0,0.050608595000000034,-0.02236537999999999,0.6935156677431922
data2_79,0.97268519,0.0,0.0,0.16494048500000003,-0.004166665000000069,0.9753607993511803
data2_8,0.840075745,0.0,0.0,0.14464105000000005,-0.04314394499999996,0.7702481766447848
data2_80,0.955313395,0.0,0.0,0.249795745,0.0,1.0
data2_81,0.794426645,0.0037143850000000977,0.004697517906197759,0.10050214000000002,-0.10972934000000001,0.47805466621839887
data2_82,0.932781345,0.0,0.0,0.22816391999999996,-0.009419515000000045,0.9603528124761727
data2_83,0.89040955,0.0,0.0,0.22703143999999997,-0.018457975000000015,0.9248115239510428
data2_84,0.7463141,0.0,0.0,0.10961588,-0.11239317000000004,0.49374509732823946
data2_85,0.749483625,0.03064459499999994,0.04263067769149922,0.20523503499999995,-0.07450142500000001,0.7336728111880731
data2_86,0.775224375,0.0,0.0,0.18663361499999997,-0.11447647999999999,0.619818525180964
data2_87,0.876912395,0.0,0.0,0.12281338999999991,-0.05301994500000007,0.6984647706306653
data2_88,0.84940172,0.0,0.0,0.19719374,0.0,1.0
data2_89,0.811520655,0.0,0.0,0.14709350500000007,-0.08253205499999994,0.6405798422440432
data2_9,0.840075745,0.0,0.0,0.14464105000000005,-0.04314394499999996,0.7702481766447848
data2_90,0.72485746,0.0,0.0,0.0,-0.07611507500000003,0.0
data2_91,0.797862985,0.0,0.0,0.052370034999999926,-0.01854709500000007,0.7384680541922655
data2_92,0.81025016,-0.009520789999999946,-0.011613963632158405,0.034535335000000056,-0.023322904999999894,0.596895705780198
data2_93,0.9525,0.010416665000000047,0.011057052612017648,0.08402778,-0.024583334999999984,0.773657281761632
data2_94,0.918680555,-0.011597225000000044,-0.012466410839136719,0.087053575,-0.041875004999999965,0.6752077390443609
data2_95,0.944166665,0.002291669999999968,0.0024330935762871247,0.018750005000000014,-0.015625,0.5454546115702386
x11data,0.37626561,-0.03045315000000004,-0.07487520369112072,0.042472699999999974,-0.13779903,0.2356037743688374
x12data,0.11895849,0.0,0.0,0.029113685,-0.199137425,0.12755112121908196
x14data,0.6888416,0.0,0.0,0.16437994,-0.21796525,0.4299254817354967
x18data,0.18316458,0.0,0.0,0.08390146,-0.11887773999999998,0.41375772268556155
x1data,0.69986928,0.0,0.0,0.26965074000000006,-0.03601715499999991,0.8821689958639591
x20data,0.974741455,0.0,0.0,0.09177879499999997,-0.02525854500000002,0.7841838767012304
x21data,0.35513547,0.0,0.0,0.04518718500000002,-0.04913248999999997,0.479085461225349
x22data,0.942620245,0.0,0.0,0.13426952999999997,-0.004286239999999997,0.9690648754649481
x23data,0.38184107,0.04358333000000003,0.12884651213006992,0.15674087,-0.08383295499999999,0.651529192754033
x25data,0.1472816,0.0,0.0,0.04113871000000001,-0.16441845,0.20013270274798511
x26data,0.53392117,0.0,0.0,0.07190825999999995,-0.055618050000000085,0.5638699967089138
x2data,0.819346505,0.0,0.0,0.09075211499999991,-0.07044374500000006,0.5629928398905526
x3data,0.5721721,0.0,0.0,0.01490713499999996,-0.04736421499999999,0.23938994417175752
x4data,0.95225789,0.0,0.0,0.08243643,-0.008327494999999963,0.9082510479796906
x5data,0.289656875,0.0,0.0,0.02262567999999998,-0.18542291,0.10875190262044065
x7data,0.735636445,-0.047014649999999936,-0.06007102053565764,0.16483795,-0.10983516999999998,0.6001240674733662
x8data,0.064050745,0.0,0.0,0.02500000000000001,-0.280688175,0.0817826859020635
x9data,0.939493995,0.0,0.0,0.07047850499999997,-0.03680074500000008,0.6569630660169599
