dataset,quality,gain_to_nores_abs,gain_to_nores_rel,gain_to_worst_abs,gain_to_best_abs,ARA_metric
data2_0,0.858843715,0.0,0.0,0.005224884999999957,-0.0013968599999999443,0.7890495632193681
data2_1,0.749529305,0.0,0.0,0.012527960000000005,-0.0019828650000000003,0.8633527039296526
data2_10,0.987896145,0.0,0.0,0.004868300000000048,-0.006439494999999962,0.4305260220936127
data2_12,0.62662066,0.0,0.0,0.16479978500000003,-0.06471533499999993,0.7180345460464654
data2_14,0.8125,0.0,0.0,0.08958332999999996,-0.15000000000000002,0.3739130347674856
data2_16_1,0.920568065,0.0,0.0,0.03751099999999996,-0.017664829999999965,0.6798447798610372
data2_19_0,0.87000979,0.0,0.0,0.15973697500000006,-0.023987364999999983,0.8694382845517368
data2_19_1,0.814366165,0.0,0.0,0.17227859,-0.03474802999999993,0.8321567052584835
data2_19_2,0.84872813,0.0,0.0,0.13754368500000003,-0.04834003499999995,0.7399447622416855
data2_2,0.596913605,0.0,0.0,0.20101171500000004,-0.02549334999999997,0.8874490952332569
data2_26,1.0,0.0,0.0,0.06874999500000001,0.0,1.0
data2_27,0.97097222,0.0,0.0,0.16975694500000005,-0.01871528,0.9007000633647744
data2_28,0.992604165,0.0,0.0,0.17294642000000005,-0.004583334999999966,0.974182722214651
data2_29,0.947206335,0.0,0.0,0.1709499349999999,-0.016431014999999993,0.9123122441208671
data2_3,0.770064415,0.0,0.0,0.048275120000000005,-0.022561880000000034,0.6814958284512328
data2_30,0.97525,0.0,0.0,0.15847420999999995,-0.01912500000000006,0.8923137101792286
data2_31,0.921306055,0.0,0.0,0.19403227999999995,-0.01941177999999999,0.9090544848144286
data2_32,0.957291665,0.0,0.0,0.16711714999999994,-0.03708333500000005,0.8183974195751785
data2_33,0.89276098,0.0,0.0,0.13599298000000004,-0.026659039999999967,0.8360977010921846
data2_34,0.577714215,0.0,0.0,0.18500792,-0.030743845000000047,0.8575036222762764
data2_35,0.913166815,0.0,0.0,0.09364614999999998,0.0,1.0
data2_36,1.0,0.0,0.0,0.01980374500000004,0.0,1.0
data2_37,0.73330866,0.0,0.0,0.023546844999999927,-0.008776405000000098,0.7284801187999321
data2_39,0.85656296,0.0,0.0,0.15000361500000003,-0.010877519999999974,0.9323878464681395
data2_4,0.98015305,0.0,0.0,0.011298144999999926,-0.004043110000000016,0.7364550683760858
data2_40,0.64694784,0.0,0.0,0.04034618000000001,-0.12247924999999993,0.24778795302429124
data2_41,0.651997895,0.0,0.0,0.17532190500000006,-0.04910195499999992,0.78120884740152
data2_42,0.491902353846,0.0,0.0,0.013339000000000045,-0.2637066230770001,0.04814730459139105
data2_43,0.8889881,0.0,0.0,0.1371130949999999,-0.03749999999999998,0.7852394747369892
data2_44,0.916666666667,0.0,0.0,0.28198653333400003,-0.08333333333299997,0.7718894017637403
data2_45,0.539781288235,0.0,0.0,0.21970210000000007,-0.08955505294099997,0.7104188146035049
data2_46,0.90681789,0.0,0.0,0.04733759500000001,-0.01437487000000004,0.767066993677857
data2_48,0.67895834,0.0,0.0,0.13925594500000005,-0.07044643000000006,0.664064701222387
data2_49,0.833157025,0.0,0.0,0.06483843999999994,-0.04922046000000002,0.5684645389355847
data2_5,0.514175325,0.0,0.0,0.14986573999999997,-0.037792090000000056,0.7986117072759498
data2_51,0.941423615,0.0,0.0,0.058219250000000056,-0.0298263849999999,0.6612394810940949
data2_52,0.91681212,0.0,0.0,0.055732319999999946,0.0,1.0
data2_54,1.0,0.0,0.0,0.015625,0.0,1.0
data2_55,0.642023795,0.0,0.0,0.10966269499999992,-0.02899802500000004,0.7908706589724902
data2_56,0.9925,0.0,0.0,0.043194440000000056,-0.007499999999999951,0.8520547815500092
data2_59,0.71558582,0.0,0.0,0.09105866000000007,-0.00016220999999994046,0.9982217885008119
data2_6,0.968975565,0.0,0.0,0.0,-0.014864219999999984,0.0
data2_63,0.80264394,0.0,0.0,0.007761854999999929,-0.007520395000000013,0.5079000147229602
data2_64,0.85580825,0.0,0.0,0.14781618500000004,-0.018756044999999943,0.8873999285475139
data2_66,0.94992785,0.0,0.0,0.019339820000000008,-0.000322464999999994,0.983599820671911
data2_68,0.73803671,0.0,0.0,0.19096682500000006,-0.04004671500000001,0.8266477583954603
data2_70,0.63494885,0.0,0.0,0.13086235000000002,-0.022157010000000033,0.8552012634218309
data2_72,0.436235145,0.0,0.0,0.212320605,-0.08238351500000002,0.7204534670231282
data2_73,0.901238995,0.0,0.0,0.02006920500000009,-0.02963400999999999,0.40378082182410246
data2_74,0.911669735,0.0,0.0,0.030926294999999993,-0.020850034999999933,0.5973056607140761
data2_75,0.982186135,0.0,0.0,0.06868355500000001,-0.001874490000000062,0.9734333625598603
data2_76,0.623980175,0.0,0.0,0.06816760500000008,-0.018571774999999957,0.785889926812943
data2_77,0.70441412,0.0,0.0,0.05262833,-0.0031886599999999543,0.9428729496162377
data2_78,0.979161175,0.0,0.0,0.05559835000000002,-0.005828645000000021,0.9051126463210513
data2_79,0.896111115,0.0,0.0,0.11081062499999994,-0.033541665,0.7676402293306188
data2_8,0.949305555,0.0,0.0,0.04717262,-0.00526289499999999,0.8996310992654504
data2_80,0.5579594,0.0,0.0,0.133718815,0.0,1.0
data2_81,0.41524849999999996,0.0,0.0,0.028357704999999955,-0.13336704500000002,0.17534548669885075
data2_82,0.591227105,0.0,0.0,0.08250687499999998,-0.030667740000000054,0.7290228025074347
data2_83,0.72520645,0.0,0.0,0.2143284649999999,-0.0517153600000001,0.805613379675322
data2_84,0.513642665,0.0,0.0,0.08379524500000002,-0.03926366999999997,0.6809359972010156
data2_85,0.524302225,0.0,0.0,0.2665737,-0.05487436000000001,0.8292901192186383
data2_86,0.5183402,0.0,0.0,0.21223269500000003,-0.03487946499999994,0.8588516850000423
data2_87,0.820515875,0.0,0.0,0.16475033500000003,-0.02694444500000004,0.8594409039202839
data2_88,0.46491671,0.0,0.0,0.170677815,-0.08730664499999996,0.6615817673669182
data2_89,0.815277785,0.0,0.0,0.16388889000000006,-0.027986109999999953,0.8541440521172641
data2_9,0.936527775,0.0,0.0,0.0335863099999999,-0.019305555000000085,0.6349995410447318
data2_90,0.844905145,0.0,0.0,0.03482578000000003,-0.012558969999999947,0.7349575549095446
data2_91,0.82833237,0.0,0.0,0.04461051000000005,-0.00015100000000001224,0.9966265659938637
data2_92,0.882291925,0.0,0.0,0.013789614999999977,-0.009516505000000008,0.591673560421039
data2_93,0.99513889,0.0,0.0,0.02271825500000002,-0.004861110000000002,0.8237410469747944
data2_94,0.990555555,0.0,0.0,0.016666665000000025,-0.0066319449999999724,0.7153501861269846
data2_95,1.0,0.0,0.0,0.018750000000000044,0.0,1.0
x11data,0.603373245,0.0,0.0,0.07744488000000005,-0.025500929999999977,0.752287829878652
x12data,0.41380403,0.0,0.0,0.189422715,-0.101429765,0.6512673194328615
x14data,0.848516645,0.0,0.0,0.18885755999999998,-0.06481303500000002,0.7444992195488798
x18data,0.49473311,0.0,0.0,0.2401584,-0.04896718499999997,0.8306369704362208
x1data,0.716556785,0.0,0.0,0.07941858499999999,-0.07374625000000001,0.5185170930390124
x20data,0.932534725,0.0,0.0,0.11378923500000004,-0.02111110999999999,0.8435058857707147
x21data,0.42264958,0.0,0.0,0.169859865,-0.06920336499999996,0.710522755841624
x22data,0.826144005,0.0,0.0,0.04623258999999991,-0.0023467799999999928,0.9516918395607025
x23data,0.51714586,0.0,0.0,0.17993726999999998,0.0,1.0
x25data,0.510775745,0.0,0.0,0.28055796,0.0,1.0
x26data,0.626049805,0.0,0.0,0.046400999999999915,-0.010307010000000005,0.8182441951322217
x2data,0.92516711,0.0,0.0,0.049503874999999975,0.0,1.0
x3data,0.386338955,0.0,0.0,0.221679195,-0.09506353500000003,0.6998714540346356
x4data,0.867441565,0.0,0.0,0.06189207000000008,0.0,1.0
x5data,0.443325755,0.0,0.0,0.204516335,-0.05282285000000003,0.7947345251754021
x7data,0.84828303,0.0,0.0,0.036907895000000024,-0.06589561999999993,0.3590139403307371
x8data,0.51421663,0.0,0.0,0.17989243499999996,-0.0248341150000001,0.8786961681325647
x9data,0.9814236,0.0,0.0,0.04265626999999994,-0.003922200000000098,0.9157937132756809
